0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:57:30 +0900] "GET /bada_admin/board_manage/qna_update.do?id=109&answer_status=N HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:59:50 +0900] "GET /bada_admin/board_manage/qna_list.do HTTP/1.1" 200 17110
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:59:52 +0900] "GET /bada_admin/board_manage/noti_faq_list.do?category=notice HTTP/1.1" 200 14654
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:59:54 +0900] "GET /bada_admin/board_manage/noti_faq_list.do?category=faq HTTP/1.1" 200 14661
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:59:57 +0900] "GET /bada_admin/member_manage/member_list.do HTTP/1.1" 200 14781
0:0:0:0:0:0:0:1 - - [18/Oct/2016:15:00:02 +0900] "GET /bada_admin/member_manage/message_list.do HTTP/1.1" 200 13091
0:0:0:0:0:0:0:1 - - [18/Oct/2016:15:00:11 +0900] "GET /bada_admin/board_manage/qna_list.do HTTP/1.1" 200 17110
0:0:0:0:0:0:0:1 - - [18/Oct/2016:15:00:14 +0900] "GET /bada_admin/board_manage/qna_view.do?id=109 HTTP/1.1" 200 10186
0:0:0:0:0:0:0:1 - - [18/Oct/2016:15:00:17 +0900] "GET /bada_admin/board_manage/qna_update.do?id=109&answer_status=N HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [18/Oct/2016:15:00:19 +0900] "GET /bada_admin/board_manage/qna_answer.do?id=109&answer_status=N HTTP/1.1" 200 10286
0:0:0:0:0:0:0:1 - - [18/Oct/2016:15:00:23 +0900] "GET /bada_admin/board_manage/qna_list.do?page=2 HTTP/1.1" 200 17169
0:0:0:0:0:0:0:1 - - [18/Oct/2016:15:00:24 +0900] "GET /bada_admin/board_manage/qna_view.do?id=96 HTTP/1.1" 200 10340
0:0:0:0:0:0:0:1 - - [18/Oct/2016:15:00:25 +0900] "GET /bada_admin/board_manage/qna_answer.do?id=96&answer_status=A HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [18/Oct/2016:15:00:51 +0900] "GET /bada_admin/board_manage/qna_view.do?id=96 HTTP/1.1" 200 10340
0:0:0:0:0:0:0:1 - - [18/Oct/2016:15:00:51 +0900] "GET /bada_admin/assets/css/common_admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2016:15:00:51 +0900] "GET /bada_admin/assets/js/daumPostCode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2016:15:00:51 +0900] "GET /bada_admin/assets/css/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2016:15:00:51 +0900] "GET /bada_admin/assets/js/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2016:15:01:34 +0900] "GET /bada_admin/board_manage/dashboard.do HTTP/1.1" 200 9063
